name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,source,ingestion_date
"Pampers Premium Care Pants, Large size baby Diapers, (L) 88 Count,9-14 Kg, Softest ever Pampers Pants",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71usvQ68H6L._AC_UL320_.jpg,https://www.amazon.in/Pampers-Premium-Care-Diapers-Monthly/dp/B07FHD5WNB/ref=sr_1_107?qid=1679219574&s=baby&sr=1-107,4.5,"4,985","₹1,702","₹2,398",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"MamyPoko Pants Extra Absorb NB114,Unisex Baby, Pack of 114",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61cwCLF5AoL._AC_UL320_.jpg,https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-NB114/dp/B0B8HPP7FR/ref=sr_1_108?qid=1679219574&s=baby&sr=1-108,4.3,"2,054",₹929,"₹1,499",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mamaearth Daily Moisturizing Natural Baby Lotion (400 ml),toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71UgeRq9TFL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Daily-Moisturizing-Lotion-Babies/dp/B0774TQRBZ/ref=sr_1_109?qid=1679219574&s=baby&sr=1-109,4.3,"12,057",₹289,₹399,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Pampers Premium Care Pants, Medium size baby Diapers, (7-12kg) 108 Count Softest ever Pampers Pants, Medium Size, Pack of 108",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71Ulv15W9RL._AC_UL320_.jpg,https://www.amazon.in/Pampers-Premium-Care-Diapers-Monthly/dp/B07F2HR5QY/ref=sr_1_110?qid=1679219574&s=baby&sr=1-110,4.5,"5,366","₹1,715","₹2,398",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Huggies Complete Comfort Wonder Pants, Medium (7-12kg) Size Count 100 Baby Diaper Pants Combo Pack of 2, 50 count Per Pac...",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61E1BmSBI+L._AC_UL320_.jpg,https://www.amazon.in/Huggies-Wonder-Pants-Medium-Diaper/dp/B08X3KF6J7/ref=sr_1_111?qid=1679219574&s=baby&sr=1-111,4.2,"215,914","₹1,022","₹1,398",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Pampers All round Protection Pants, Medium size baby Diapers, (7-12kg) 200 Count Lotion with Aloe Vera",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71uvJRTWN8L._AC_UL320_.jpg,https://www.amazon.in/Pampers-Diaper-Pants-Super-Medium/dp/B086LTG623/ref=sr_1_112?qid=1679219574&s=baby&sr=1-112,4.3,"3,948","₹2,186","₹3,149",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Pampers Baby Gentle Wet Wipes with Aloe Vera 144 Wipes,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61550yU+DyL._AC_UL320_.jpg,https://www.amazon.in/Pampers-Baby-Gentle-Wipes-Aloe/dp/B08LWQJ2TX/ref=sr_1_113?qid=1679219574&s=baby&sr=1-113,4.3,"5,035",₹229,₹498,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mamaearth Vitamin C Oil-Free Moisturizer For Face With Vitamin C & Gotu Kola For Skin Illumination - 80 Ml,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61f+TzAIssS._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Vitamin-Oil-Free-Moisturizer-Illumination/dp/B096W78HTH/ref=sr_1_114?qid=1679219574&s=baby&sr=1-114,4.1,"3,395",₹280,₹319,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Huggies Complete Comfort Wonder Pants Extra Large (XL) Size Baby Diaper Pants Sumo Pack, 168 count, with 5 in 1 Comfort",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61FwmSEQZnL._AC_UL320_.jpg,https://www.amazon.in/Huggies-Wonder-Pants-Diapers-Extra/dp/B07SYBVYPH/ref=sr_1_115?qid=1679219574&s=baby&sr=1-115,4.2,"215,914","₹2,495","₹3,899",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Nestle LACTOGEN 1 Infant Formula Powder - Upto 6 months, Stage 1, 400g Bag-in-Box Pack",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81tmj4yIcQL._AC_UL320_.jpg,https://www.amazon.in/Nestle-Lactogen-Infant-Formula-Powder/dp/B00I4SZLNG/ref=sr_1_116?qid=1679219574&s=baby&sr=1-116,4.4,"6,458",₹395,₹415,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mamaearth Onion Hair Oil For Hair Growth With Onion & Redensyl For Hair Fall Control - 250Ml,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61pm+VDnTTL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Onion-growth-Redensyl-Control/dp/B085RMP876/ref=sr_1_117?qid=1679219574&s=baby&sr=1-117,4.1,"13,553",₹508,₹599,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Pampers Premium Care Pants,New Born Extra Small size baby Diapers,(NB/XS)70 count,Upto 5 kg Softest ever Pampers",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61zJfIL4fML._AC_UL320_.jpg,https://www.amazon.in/Pampers-Premium-Care-Diapers-Count/dp/B082LDLPR9/ref=sr_1_118?qid=1679219574&s=baby&sr=1-118,4.4,"11,056",₹767,"₹1,149",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"MamyPoko Pants Extra Absorb XL42,Unisex Baby, Pack of 42 (12-17Kg)",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61h8cWH-zRL._AC_UL320_.jpg,https://www.amazon.in/MamyPoko-Pants-Extra-Absorb-Unisex/dp/B0BGLNPKPS/ref=sr_1_119?qid=1679219574&s=baby&sr=1-119,4.3,"155,343",₹699,₹999,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Huggies Complete Comfort Wonder Pants,Large (L) Size Baby Diaper Pants,(64 count) (9-14Kg) with 5 in 1 Comfort",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61iPfz6I7hL._AC_UL320_.jpg,https://www.amazon.in/Huggies-Wonder-Pants-Diapers-Large/dp/B07M8HBFLK/ref=sr_1_120?qid=1679219574&s=baby&sr=1-120,4.2,"215,914",₹881,"₹1,399",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Mamaearth Natural Repellent Mosquito Patches For Babies with 12 Hour Protection,White,Pack of 1",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/81X9maTp4cL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Natural-Repellent-Mosquito-Patches/dp/B07D5YN8JK/ref=sr_1_121?qid=1679219575&s=baby&sr=1-121,3.9,"3,169",₹152,₹199,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Kotex Overnight Period Panties (Medium/Large size, pack of 10 panties) for heavy flow period protection | with 360 degree ...",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51E-YoMK6SL._AC_UL320_.jpg,https://www.amazon.in/Kotex-Overnight-Periodwear-Sanitary-Protection/dp/B07H7VSG1J/ref=sr_1_122?qid=1679219575&s=baby&sr=1-122,4.4,"5,121",₹369,₹450,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Mamaearth Mineral Based Sunscreen Baby Lotion SPF 20+,Hypoallergenic,100ml,(0-10 Years)",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61dcGPrkFGL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Mineral-Based-Sunscreen-100/dp/B01N0KOM5M/ref=sr_1_123?qid=1679219575&s=baby&sr=1-123,4.1,"6,953",₹214,₹299,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Himalaya Gentle Baby Wash (400ml),toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61yJP3LIksS._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Gentle-Baby-Bath-400ml/dp/B01N32GD33/ref=sr_1_124?qid=1679219575&s=baby&sr=1-124,4.3,"17,468",₹211,₹265,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Cable World® Musical Keyboard Mat Piano Gym Mat Gym & Fitness Rack,Pack of 1 set, Muticolor",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51gNxhegXtL._AC_UL320_.jpg,https://www.amazon.in/Cable-World-Musical-Keyboard-Assorted/dp/B07TCPBJK6/ref=sr_1_125?qid=1679219575&s=baby&sr=1-125,3.8,"10,574","₹1,099","₹2,599",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Himalaya Baby Lotion 700ml,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61VWVhvTqDL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-7004425-Baby-Lotion-700ml/dp/B082VW8DYB/ref=sr_1_126?qid=1679219575&s=baby&sr=1-126,4.4,"7,182",₹386,₹480,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mother Sparsh 99% Pure Water (Unscented) baby wipes I Natural Plant made cloth - Super thick I 72 pcs/pack - Pack of 2 (Su...,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51D1dqFPOnL._AC_UL320_.jpg,https://www.amazon.in/Mother-Sparsh-Water-Wipes-Unscented/dp/B07JPGWH5R/ref=sr_1_127?qid=1679219575&s=baby&sr=1-127,4.5,"4,056",₹399,₹568,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Luv Lap Liquid Cleanser Refill, Anti-Bacterial, Food Grade, For Baby Bottles, Accessories And Vegetables, 1000ml (Clear)",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71VHtAW2auS._AC_UL320_.jpg,https://www.amazon.in/Anti-Bacterial-Bottles-Accessories-Vegetable-Cleanser/dp/B01N362DN7/ref=sr_1_128?qid=1679219575&s=baby&sr=1-128,4.4,"6,544",₹359,₹479,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mother Sparsh 99% Pure Water (Unscented) Baby Wipes I Natural Plant Made Cloth - Super Thick I 72 pcs/Pack - Pack of 3,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51vQEfdSUaL._AC_UL320_.jpg,https://www.amazon.in/Mother-Sparsh-Water-Unscented-Natural/dp/B0892JZ8ZR/ref=sr_1_129?qid=1679219575&s=baby&sr=1-129,4.5,"6,627",₹598,₹897,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Nestlé NAN PRO 2 Follow-up Formula Powder - After 6 months, Up to 12 months, Stage 2, 400g Bag-In-Box Pack",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71J3vYAS4iL._AC_UL320_.jpg,https://www.amazon.in/Nestle-Nan-Pro-Follow-Up-Formula/dp/B00MVVEREQ/ref=sr_1_130?qid=1679219575&s=baby&sr=1-130,4.5,"4,817",,₹740,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Bio-Oil Original Face & Body Oil Suitable for Scar Removal | Uneven Skin Tone| Stretch Marks & Ageing Signs for Glowing Sk...,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71vvWBHAVxL._AC_UL320_.jpg,https://www.amazon.in/Bio-Oil-PACIFIC357160-Body-Oil-125ml/dp/B01IMU5BX0/ref=sr_1_131?qid=1679219575&s=baby&sr=1-131,4.1,"35,284",₹553,₹790,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Huggies Complete Comfort Wonder Pants, Extra Small (0-5kg) Size Baby Diaper Pants, (24 count) with 5 in 1 Comfort",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61id0d+adnL._AC_UL320_.jpg,https://www.amazon.in/Huggies-Wonder-Pants-Extra-Diaper/dp/B07JVTFGVV/ref=sr_1_132?qid=1679219575&s=baby&sr=1-132,4.2,"215,914",,₹199,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink )",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/51AeNwFhGdL._AC_UL320_.jpg,https://www.amazon.in/Babique-Unicorn-Stuffed-Plush-Birthday/dp/B08LTGVND9/ref=sr_1_133?qid=1679219575&s=baby&sr=1-133,4.1,"5,325",₹175,₹699,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Mamaearth Daily Moisturizing Lotion, 200ml",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61icl+aY5mL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Daily-Moisturizing-Lotion-200ml/dp/B01N1M5FRR/ref=sr_1_134?qid=1679219575&s=baby&sr=1-134,4.2,"11,080",₹152,₹199,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Pampers Premium Care Pants, Extra Large size baby Diapers, (XL) 36 Count, 12-17 kg Softest ever Pampers Pants,",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61Li7df0uBL._AC_UL320_.jpg,https://www.amazon.in/Pampers-Premium-Care-Diapers-X-Large/dp/B07DDP2BBC/ref=sr_1_135?qid=1679219575&s=baby&sr=1-135,4.5,"2,749",₹837,"₹1,199",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Amul School Pack Butter Pasteurised, 100 g",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/81d7cB6tZsL._AC_UL320_.jpg,https://www.amazon.in/Amul-School-Pack-Butter-Pasteurised/dp/B01DYAL31M/ref=sr_1_136_f3_0o_fs?qid=1679219575&s=baby&sr=1-136,4.6,"4,402",₹63,₹65,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Classic Mosquito Net for Double Bed | Queen Size Foldable Machardani | Polyester 30GSM Strong Net | PVC Coated Corrosion R...,toys & baby products,Baby Products,https://m.media-amazon.com/images/I/713JC5+MMhL._AC_UL320_.jpg,https://www.amazon.in/Classic-Mosquito-Net-Foldable-Flexible/dp/B07PFXFVBZ/ref=sr_1_137?qid=1679219575&s=baby&sr=1-137,4.2,"61,552",₹949,"₹2,000",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Huggies Complete Comfort Dry Pants Medium (M) Size Baby Diaper Pants, 26 count,7-12 kg with 5 in 1 Comfort",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61ynpP38NWL._AC_UL320_.jpg,https://www.amazon.in/Huggies-Complete-Comfort-Medium-Diaper/dp/B0BP2CKYXK/ref=sr_1_138?qid=1679219575&s=baby&sr=1-138,4.0,"30,295",₹243,₹320,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Colgate Toothpaste for Kids (3-5 years), Natural Strawberry Flavour - 80 gr Tube,Cavity Protection,0% artificial preservat...",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61-DUXPnv6L._AC_UL320_.jpg,https://www.amazon.in/Colgate-Toothpaste-Natural-Strawberry-Artificial/dp/B07XD4NVXD/ref=sr_1_139?qid=1679219575&s=baby&sr=1-139,4.2,"2,809",₹132,₹200,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Mamaearth Gentle Cleansing Natural Baby Shampoo, 400ml (White)",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/61UUaPVRTbL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Gentle-Cleansing-Natural-Shampoo/dp/B077HZHB45/ref=sr_1_140?qid=1679219575&s=baby&sr=1-140,4.3,"19,845",₹289,₹399,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Himalaya Extra Moisturizing Baby Soap (75g),toys & baby products,Baby Products,https://m.media-amazon.com/images/I/714jKt8fJJL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Extra-Moisturizing-Baby-Soap/dp/B01NCUMUET/ref=sr_1_141?qid=1679219575&s=baby&sr=1-141,4.3,"12,197",₹153,₹165,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"LuvLap Tiny Giffy Sipper for Infant/Toddler 300ml, Anti-Spill Sippy Cup with Soft Silicone Straw BPA Free, 18m+ (Green)",toys & baby products,Baby Products,https://m.media-amazon.com/images/I/81snrJrM8lL._AC_UL320_.jpg,https://www.amazon.in/LuvLap-Sipper-Anti-Spill-Design-Silicone/dp/B082KPCPTP/ref=sr_1_142?qid=1679219575&s=baby&sr=1-142,4.1,"8,188",₹199,₹259,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Supples Baby Wet Wipes with Aloe Vera and Vitamin E - 72 Wipes/Pack (Pack of 9),toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71AGHg6QUoL._AC_UL320_.jpg,https://www.amazon.in/Supples-Baby-Wipes-Aloe-Vitamin/dp/B085SBL6CW/ref=sr_1_143?qid=1679219575&s=baby&sr=1-143,4.4,"59,138",₹539,"₹1,161",clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Amazon Brand - Solimo Cotton Buds - 200 Sticks (Pack of 2),toys & baby products,Baby Products,https://m.media-amazon.com/images/I/71+Eam3HUsL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Solimo-Cotton-Sticks/dp/B07G71DW8J/ref=sr_1_144?qid=1679219575&s=baby&sr=1-144,4.3,"6,773",₹139,₹240,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
AMAZARA Baby Proofing Corner Guards I Pre-Taped Corner Protectors I Child Safety Edge Guards I 10 Pieces Brown,toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71nD2dIg2TL._AC_UL320_.jpg,https://www.amazon.in/AMAZARA-Proofing-Corner-Pre-Taped-Protectors/dp/B07NSQFTLH/ref=sr_1_193?qid=1679219577&s=baby&sr=1-193,4.2,"11,784",₹316,₹599,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Nestlé CERELAC Baby Cereal with Milk - Multigrain & Fruits - Stage 3 - BIB Pack, 300g",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jUN3bpCCL._AC_UL320_.jpg,https://www.amazon.in/Nestle-Cerelac-Fortified-Cereal-Multigrain/dp/B00FPSNGDK/ref=sr_1_194?qid=1679219577&s=baby&sr=1-194,4.4,"9,511",,₹305,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Little's Baby Pants Diapers,Small (S),4-8 kg,42 Count, with Wetness Indicator & 12 Hours Absorption",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/715e4ZYF7jL._AC_UL320_.jpg,https://www.amazon.in/Littles-Diapers-Wetness-Indicator-Absorption/dp/B08F7WGMWG/ref=sr_1_195?qid=1679219577&s=baby&sr=1-195,4.0,"61,008",,₹399,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Little's Comfy Baby Pants - Premium, 12 Hours Absorption, Wetness Indicator, Cotton Soft, Large,White, 62 Count",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81Z+SsmZNuL._AC_UL320_.jpg,https://www.amazon.in/Littles-Comfy-Baby-Pants-Absorption/dp/B0B4S15DY2/ref=sr_1_196?qid=1679219577&s=baby&sr=1-196,3.9,"1,730",₹625,₹999,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Himalaya Baby Hair Oil 200 ml(1 Count),toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/718S91g48AL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Baby-Hair-Oil-200/dp/B085W98FZC/ref=sr_1_197?qid=1679219577&s=baby&sr=1-197,4.4,"7,656",,₹230,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Nestle LACTOGEN 2 Follow-Up Formula Powder - After 6 months, Stage 2, 400g Bag-in-Box Pack",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/813qcrQWRSL._AC_UL320_.jpg,https://www.amazon.in/Nestle-Lactogen-Follow-Up-Infant-Formula/dp/B00I4SZNSE/ref=sr_1_198?qid=1679219577&s=baby&sr=1-198,4.5,"5,243",,₹400,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mee Mee Anti-Bacterial Baby Laundry Detergent(1.5 Litre liquid),toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51jv0Sf1jmL._AC_UL320_.jpg,https://www.amazon.in/Mee-Mild-Liquid-Laundry-Detergent/dp/B0789HXX16/ref=sr_1_199?qid=1679219577&s=baby&sr=1-199,4.4,"4,555",₹600,₹799,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 2",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71XAO+WcGtL._AC_UL320_.jpg,https://www.amazon.in/Littles-Soft-Cleansing-Baby-Wipes/dp/B07B2LGT97/ref=sr_1_200?qid=1679219577&s=baby&sr=1-200,4.4,"102,725",₹145,₹380,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
Mamaearth Deeply nourishing wash for babies (200 ml),toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6188MIIh0mL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Deeply-nourishing-wash-babies/dp/B01N1M5HAD/ref=sr_1_201?qid=1679219577&s=baby&sr=1-201,4.3,"11,401",₹152,₹199,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"LuvLap Mobby Little Spout Sipper, BPA Free, 240 ml, 6m+ (Blue)",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81ghEBV3owL._AC_UL320_.jpg,https://www.amazon.in/LuvLap-Little-Sipper-Anti-Spill-Silicone/dp/B082KNQC5D/ref=sr_1_202?qid=1679219577&s=baby&sr=1-202,4.0,"5,639",₹199,₹259,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
"LuvLap Elegant Baby Hair Brush and Comb Set, 0m+ (White)",toys & baby products,Baby Products,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71MaT6JHbJL._AC_UL320_.jpg,https://www.amazon.in/LuvLap-Elegant-Baby-Brush-White/dp/B082D9D9LW/ref=sr_1_203?qid=1679219577&s=baby&sr=1-203,4.2,"7,404",₹169.54,₹219,clean_clean_clean_all(1),2026-03-27 12:59:57.235240
